timestamp,ip,method,path,status,bytes,user_agent,,
05/Mar/2026:19:09:39 +0000,10.0.5.44,GET,/index.html,200,1234,Mozilla/5.0 (X11,legit,
03/Mar/2026:03:24:16 +0000,10.0.4.76,GET,/,200,4739,Mozilla/5.0 (X11,legit,
11/Mar/2026:04:14:03 +0000,10.0.1.222,GET,/favicon.ico,200,13210,Mozilla/5.0 (iPhone,legit,
06/Mar/2026:21:16:31 +0000,10.0.1.181,GET,/api/data,200,10737,Mozilla/5.0 (X11,legit,
02/Mar/2026:04:24:24 +0000,10.0.3.102,GET,/api/users,200,7961,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:19:03:12 +0000,10.0.2.208,GET,/login,200,336,Mozilla/5.0 (X11,legit,
08/Mar/2026:14:19:58 +0000,10.0.5.27,GET,/,200,8321,Mozilla/5.0 (iPhone,legit,
10/Mar/2026:21:55:47 +0000,10.0.1.179,GET,/favicon.ico,200,12221,Mozilla/5.0 (X11,legit,
02/Mar/2026:00:26:57 +0000,10.0.3.57,GET,/dashboard,200,14086,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:21:44:10 +0000,10.0.3.138,GET,/favicon.ico,200,6945,Mozilla/5.0 (X11,legit,
02/Mar/2026:12:28:29 +0000,10.0.5.159,POST,/login,200,5469,Mozilla/5.0 (iPhone,legit,
01/Mar/2026:21:24:21 +0000,10.0.4.103,GET,/index.html,200,1854,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:06:16:35 +0000,10.0.2.27,GET,/static/main.js,200,14962,Mozilla/5.0 (X11,legit,
14/Mar/2026:22:06:21 +0000,10.0.0.195,GET,/api/data,200,8642,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:07:29:01 +0000,10.0.0.98,POST,/favicon.ico,200,12159,Mozilla/5.0 (X11,legit,
07/Mar/2026:14:56:03 +0000,10.0.3.21,GET,/index.html,200,4520,Mozilla/5.0 (X11,legit,
05/Mar/2026:19:29:08 +0000,10.0.5.29,GET,/dashboard,200,10345,Mozilla/5.0 (X11,legit,
13/Mar/2026:16:57:04 +0000,10.0.2.40,POST,/,200,9535,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
05/Mar/2026:03:42:46 +0000,10.0.0.221,GET,/index.html,301,13378,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:00:35:35 +0000,10.0.4.68,GET,/favicon.ico,200,5899,Mozilla/5.0 (X11,legit,
02/Mar/2026:02:08:28 +0000,10.0.2.117,GET,/api/users,200,13477,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:07:41:05 +0000,10.0.2.27,GET,/login,301,1942,Mozilla/5.0 (iPhone,legit,
03/Mar/2026:23:59:24 +0000,10.0.2.40,GET,/api/users,200,5572,Mozilla/5.0 (X11,legit,
02/Mar/2026:01:02:15 +0000,10.0.2.103,GET,/api/data,404,961,Mozilla/5.0 (X11,legit,
12/Mar/2026:19:02:15 +0000,10.0.5.190,POST,/dashboard,500,10846,Mozilla/5.0 (X11,legit,
14/Mar/2026:07:40:32 +0000,10.0.5.29,POST,/login,301,8423,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:16:39:22 +0000,10.0.1.172,GET,/api/data,200,5147,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:10:11:01 +0000,185.113.152.216,GET,/../../../etc/passwd,200,1949,Nikto/2.1.6,,
06/Mar/2026:06:03:58 +0000,10.0.5.29,POST,/index.html,200,9276,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:18:50:59 +0000,10.0.0.207,GET,/api/users,200,12121,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:10:29:46 +0000,10.0.2.117,GET,/dashboard,200,5453,Mozilla/5.0 (X11,legit,
07/Mar/2026:10:52:14 +0000,10.0.3.151,GET,/static/main.js,200,8034,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:09:23:17 +0000,10.0.5.167,POST,/favicon.ico,200,11390,Mozilla/5.0 (iPhone,legit,
11/Mar/2026:04:21:45 +0000,10.0.0.250,POST,/dashboard,200,13202,Mozilla/5.0 (X11,legit,
07/Mar/2026:16:28:20 +0000,10.0.5.44,GET,/api/data,200,14722,Mozilla/5.0 (X11,legit,
14/Mar/2026:19:21:13 +0000,10.0.1.234,GET,/dashboard,200,4631,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:09:22:53 +0000,10.0.2.117,GET,/favicon.ico,301,3778,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
10/Mar/2026:01:13:27 +0000,10.0.0.156,GET,/api/data,200,3754,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:02:26:35 +0000,10.0.0.190,GET,/api/data,301,9226,Mozilla/5.0 (X11,legit,
04/Mar/2026:22:32:38 +0000,10.0.1.246,GET,/api/data,200,7796,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
06/Mar/2026:06:44:14 +0000,10.0.0.56,POST,/dashboard,200,9591,Mozilla/5.0 (X11,legit,
12/Mar/2026:21:56:01 +0000,10.0.3.230,GET,/favicon.ico,200,4364,Mozilla/5.0 (iPhone,legit,
10/Mar/2026:09:08:43 +0000,10.0.3.102,POST,/api/data,200,5679,Mozilla/5.0 (X11,legit,
05/Mar/2026:18:32:53 +0000,10.0.0.221,POST,/api/reports,200,8323,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:16:07:33 +0000,10.0.2.254,GET,/api/users,200,7660,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:12:55:39 +0000,10.0.4.103,POST,/dashboard,200,2824,Mozilla/5.0 (X11,legit,
10/Mar/2026:04:19:40 +0000,10.0.1.222,GET,/favicon.ico,200,889,Mozilla/5.0 (iPhone,legit,
06/Mar/2026:05:32:22 +0000,10.0.4.23,GET,/login,200,8444,Mozilla/5.0 (X11,legit,
13/Mar/2026:18:53:58 +0000,45.100.0.154,GET,/.env,404,270,Masscan/1.3,,
09/Mar/2026:06:18:12 +0000,10.0.5.166,GET,/api/data,301,13468,Mozilla/5.0 (iPhone,legit,
01/Mar/2026:02:20:44 +0000,10.0.2.155,POST,/login,200,10784,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:11:00:50 +0000,10.0.5.44,GET,/api/data,500,9367,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
06/Mar/2026:19:14:53 +0000,10.0.0.219,GET,/index.html,200,11941,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:21:49:35 +0000,10.0.0.221,GET,/favicon.ico,200,13672,Mozilla/5.0 (X11,legit,
07/Mar/2026:00:51:46 +0000,10.0.3.151,GET,/favicon.ico,301,9709,Mozilla/5.0 (iPhone,legit,
06/Mar/2026:04:13:43 +0000,10.0.5.167,GET,/api/data,200,10154,Mozilla/5.0 (iPhone,legit,
09/Mar/2026:12:09:10 +0000,10.0.3.151,GET,/api/data,200,13241,Mozilla/5.0 (iPhone,legit,
11/Mar/2026:01:57:16 +0000,10.0.0.98,GET,/dashboard,200,2005,Mozilla/5.0 (X11,legit,
07/Mar/2026:11:04:26 +0000,10.0.5.29,POST,/dashboard,200,12730,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
02/Mar/2026:15:19:42 +0000,10.0.2.17,POST,/api/data,200,13258,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
10/Mar/2026:06:18:18 +0000,10.0.2.57,GET,/index.html,200,12638,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
09/Mar/2026:08:33:41 +0000,10.0.0.12,GET,/,200,3308,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:12:24:02 +0000,10.0.3.24,POST,/dashboard,200,4678,Mozilla/5.0 (iPhone,legit,
07/Mar/2026:15:18:50 +0000,10.0.4.103,POST,/login,200,998,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:00:03:21 +0000,10.0.2.40,GET,/api/users,200,9416,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:00:18:10 +0000,10.0.5.166,POST,/,200,1603,Mozilla/5.0 (iPhone,legit,
07/Mar/2026:13:30:22 +0000,10.0.5.27,POST,/,200,13266,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
08/Mar/2026:01:30:18 +0000,10.0.4.68,POST,/api/data,200,2483,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:14:37:15 +0000,10.0.4.7,GET,/api/users,200,14661,Mozilla/5.0 (X11,legit,
02/Mar/2026:00:20:46 +0000,10.0.4.109,GET,/,200,13130,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:18:44:09 +0000,10.0.3.102,GET,/api/reports,200,7376,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:14:24:54 +0000,10.0.2.40,GET,/login,200,10444,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
09/Mar/2026:13:21:07 +0000,10.0.1.172,GET,/api/data,200,13932,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
08/Mar/2026:04:45:31 +0000,10.0.2.253,POST,/login,500,7969,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
12/Mar/2026:02:40:56 +0000,10.0.3.88,GET,/api/data,200,9248,Mozilla/5.0 (X11,legit,
08/Mar/2026:17:58:43 +0000,10.0.0.12,GET,/api/data,200,8688,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:17:52:01 +0000,10.0.2.27,GET,/login,200,12582,Mozilla/5.0 (iPhone,legit,
10/Mar/2026:02:06:29 +0000,10.0.3.102,GET,/favicon.ico,200,10755,Mozilla/5.0 (X11,legit,
08/Mar/2026:23:12:09 +0000,10.0.0.187,GET,/login,200,1354,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
12/Mar/2026:08:24:55 +0000,10.0.2.155,GET,/favicon.ico,200,8149,Mozilla/5.0 (X11,legit,
05/Mar/2026:01:35:13 +0000,10.0.5.29,GET,/login,200,11734,Mozilla/5.0 (X11,legit,
01/Mar/2026:16:45:02 +0000,10.0.1.222,GET,/,200,6416,Mozilla/5.0 (X11,legit,
14/Mar/2026:09:57:22 +0000,10.0.1.179,GET,/login,200,4222,Mozilla/5.0 (X11,legit,
13/Mar/2026:22:58:16 +0000,10.0.2.40,GET,/api/users,200,7709,Mozilla/5.0 (iPhone,legit,
09/Mar/2026:04:29:25 +0000,10.0.5.150,GET,/favicon.ico,500,11373,Mozilla/5.0 (iPhone,legit,
01/Mar/2026:04:41:39 +0000,10.0.5.167,POST,/favicon.ico,200,2936,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
02/Mar/2026:06:22:45 +0000,10.0.2.103,GET,/dashboard,200,1261,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:12:21:30 +0000,10.0.3.138,GET,/,200,1399,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
05/Mar/2026:01:20:50 +0000,10.0.0.98,GET,/,200,4298,Mozilla/5.0 (X11,legit,
03/Mar/2026:15:52:01 +0000,10.0.5.159,GET,/,200,5291,Mozilla/5.0 (iPhone,legit,
09/Mar/2026:04:14:58 +0000,10.0.2.40,POST,/favicon.ico,200,14519,Mozilla/5.0 (X11,legit,
11/Mar/2026:20:56:55 +0000,10.0.0.12,GET,/api/reports,200,1510,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:09:24:12 +0000,10.0.1.131,GET,/dashboard,200,9646,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:19:29:25 +0000,10.0.0.12,GET,/api/data,200,11551,Mozilla/5.0 (X11,legit,
11/Mar/2026:02:11:00 +0000,10.0.3.102,GET,/static/main.js,200,880,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
10/Mar/2026:13:08:42 +0000,10.0.4.68,GET,/,200,5471,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:12:22:40 +0000,10.0.5.27,POST,/dashboard,301,3304,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
13/Mar/2026:08:25:12 +0000,10.0.0.12,POST,/api/reports,200,478,Mozilla/5.0 (X11,legit,
09/Mar/2026:15:31:06 +0000,10.0.4.187,GET,/,404,14605,Mozilla/5.0 (X11,legit,
13/Mar/2026:12:22:07 +0000,45.74.250.5,GET,/api/login?user=admin'--,403,69,Masscan/1.3,,
06/Mar/2026:23:51:19 +0000,10.0.2.17,GET,/api/data,404,2186,Mozilla/5.0 (X11,legit,
13/Mar/2026:03:03:09 +0000,10.0.1.181,POST,/api/users,200,14587,Mozilla/5.0 (X11,legit,
01/Mar/2026:11:18:07 +0000,10.0.0.187,GET,/api/data,200,4211,Mozilla/5.0 (iPhone,legit,
14/Mar/2026:17:33:07 +0000,45.74.250.5,GET,/phpmyadmin/,403,386,Masscan/1.3,,
