timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,packets,duration_ms,flags
2026-03-08T03:15:56,10.0.0.56,10.0.0.5,63202,8080,TCP,32038,395,2282,SYN-ACK
2026-03-02T11:01:56,185.181.101.40,10.0.0.5,34587,443,TCP,41088,465,316,RST
2026-03-14T09:13:32,10.0.0.219,10.0.0.5,57460,80,ICMP,15964,90,750,SYN-ACK
2026-03-05T15:12:03,185.147.82.139,10.0.0.5,43726,3306,TCP,37782,484,563,SYN
2026-03-12T08:14:14,10.0.2.17,10.0.0.5,41481,8080,UDP,9721,271,4428,ACK
2026-03-12T15:14:43,10.0.3.57,10.0.0.5,56495,8080,UDP,34513,303,3269,RST
2026-03-09T12:21:49,10.0.1.179,10.0.0.5,32783,80,ICMP,41001,82,3447,SYN-ACK
2026-03-01T20:59:14,10.0.4.51,10.0.0.5,42234,80,UDP,39957,43,1404,RST
2026-03-04T22:31:53,10.0.3.138,10.0.0.5,56653,80,TCP,30165,439,4134,ACK
2026-03-10T21:46:28,10.0.3.24,10.0.0.5,23386,8080,UDP,46438,53,3623,SYN-ACK
2026-03-03T03:33:09,10.0.3.88,10.0.0.5,64120,80,TCP,32513,108,4485,RST
2026-03-04T03:46:51,10.0.5.150,10.0.0.5,60916,443,ICMP,17982,43,2013,RST
2026-03-11T15:43:12,10.0.0.56,10.0.0.5,56130,8080,UDP,32439,4,3081,FIN
2026-03-08T21:56:15,10.0.0.219,10.0.0.5,45391,8080,TCP,18648,346,4178,ACK
2026-03-14T05:52:46,10.0.2.208,10.0.0.5,5605,80,TCP,40563,424,2557,ACK
2026-03-05T23:33:52,10.0.2.148,10.0.0.5,4911,80,UDP,10526,362,719,SYN-ACK
2026-03-13T02:00:37,10.0.1.68,10.0.0.5,63973,8080,TCP,38984,11,3167,SYN
2026-03-12T21:41:55,10.0.4.109,10.0.0.5,20012,8080,ICMP,23302,215,2919,SYN
2026-03-03T17:19:21,10.0.5.144,10.0.0.5,62171,8080,ICMP,47174,178,3866,SYN-ACK
2026-03-02T15:59:00,10.0.1.42,10.0.0.5,51103,8080,UDP,30171,354,133,RST
2026-03-03T12:00:04,10.0.2.91,10.0.0.5,34188,80,TCP,43717,112,3658,SYN-ACK
2026-03-14T03:37:24,10.0.5.81,10.0.0.5,51439,443,TCP,24783,412,1670,SYN-ACK
2026-03-09T19:25:59,10.0.3.88,10.0.0.5,29489,443,UDP,35602,399,4635,RST
2026-03-06T04:15:09,10.0.3.57,10.0.0.5,62762,443,TCP,2156,304,33,SYN
